,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded
0,2020-06-01,2020-06-01,0.067,0.075,0.066,0.072,29603465.935
1,2020-06-02,2020-06-02,0.072,0.074,0.065,0.07,29851106.424
2,2020-06-03,2020-06-03,0.07,0.076,0.069,0.076,34277429.019
3,2020-06-04,2020-06-04,0.076,0.08,0.075,0.078,33617327.29
4,2020-06-05,2020-06-05,0.078,0.079,0.074,0.076,16565011.035
5,2020-06-06,2020-06-06,0.076,0.077,0.075,0.076,9974292.116
6,2020-06-07,2020-06-07,0.077,0.078,0.073,0.077,13426631.241
7,2020-06-08,2020-06-08,0.077,0.077,0.075,0.076,8093431.574
8,2020-06-09,2020-06-09,0.077,0.077,0.073,0.073,10317344.412
9,2020-06-10,2020-06-10,0.073,0.074,0.07,0.074,19654978.504
10,2020-06-11,2020-06-11,0.074,0.075,0.065,0.067,31623891.056
11,2020-06-12,2020-06-12,0.067,0.071,0.056,0.07,25661642.431
12,2020-06-13,2020-06-13,0.071,0.071,0.069,0.07,4987433.513
13,2020-06-14,2020-06-14,0.07,0.07,0.067,0.068,7512679.992
14,2020-06-15,2020-06-15,0.068,0.071,0.062,0.07,30205965.577
15,2020-06-16,2020-06-16,0.069,0.07,0.068,0.07,12747689.214
16,2020-06-17,2020-06-17,0.07,0.075,0.069,0.074,18187796.875
17,2020-06-18,2020-06-18,0.074,0.075,0.071,0.073,12170356.174
18,2020-06-19,2020-06-19,0.073,0.073,0.07,0.072,7656167.741
19,2020-06-20,2020-06-20,0.072,0.072,0.069,0.071,5660102.763
20,2020-06-21,2020-06-21,0.071,0.072,0.07,0.07,4996724.847
21,2020-06-22,2020-06-22,0.07,0.074,0.07,0.074,11843070.04
22,2020-06-23,2020-06-23,0.074,0.075,0.072,0.073,9199057.621
23,2020-06-24,2020-06-24,0.073,0.077,0.071,0.073,14688667.479
24,2020-06-25,2020-06-25,0.073,0.074,0.07,0.073,8535279.691
25,2020-06-26,2020-06-26,0.073,0.073,0.071,0.072,8006334.598
26,2020-06-27,2020-06-27,0.072,0.072,0.066,0.069,13425379.951
27,2020-06-28,2020-06-28,0.069,0.072,0.068,0.071,9028229.94
28,2020-06-29,2020-06-29,0.072,0.075,0.072,0.075,9922884.575
29,2020-06-30,2020-06-30,0.075,0.075,0.073,0.074,9039252.756
30,2020-07-01,2020-07-01,0.074,0.086,0.074,0.086,29381906.919
31,2020-07-02,2020-07-02,0.086,0.086,0.078,0.083,30286986.396
32,2020-07-03,2020-07-03,0.083,0.091,0.082,0.086,26349403.422
33,2020-07-04,2020-07-04,0.086,0.09,0.086,0.089,8978065.856
34,2020-07-05,2020-07-05,0.089,0.089,0.084,0.087,15282111.736
35,2020-07-06,2020-07-06,0.087,0.094,0.087,0.093,21439804.279
36,2020-07-07,2020-07-07,0.093,0.106,0.091,0.105,37738994.773
37,2020-07-08,2020-07-08,0.104,0.123,0.102,0.115,49664204.719
38,2020-07-09,2020-07-09,0.115,0.115,0.104,0.11,36184326.297
39,2020-07-10,2020-07-10,0.11,0.11,0.098,0.105,32651751.578
40,2020-07-11,2020-07-11,0.105,0.113,0.104,0.111,20322490.251
41,2020-07-12,2020-07-12,0.111,0.114,0.107,0.113,14770463.531
42,2020-07-13,2020-07-13,0.112,0.12,0.107,0.11,30856872.069
43,2020-07-14,2020-07-14,0.11,0.119,0.107,0.116,18836667.104
44,2020-07-15,2020-07-15,0.116,0.116,0.111,0.114,11899099.752
45,2020-07-16,2020-07-16,0.114,0.117,0.104,0.111,33270232.99
46,2020-07-17,2020-07-17,0.111,0.111,0.107,0.107,7341099.366
47,2020-07-18,2020-07-18,0.107,0.109,0.104,0.108,13215699.768
48,2020-07-19,2020-07-19,0.108,0.109,0.106,0.109,6608260.297
49,2020-07-20,2020-07-20,0.109,0.109,0.101,0.103,11817602.222
50,2020-07-21,2020-07-21,0.103,0.109,0.102,0.107,10553131.573
51,2020-07-22,2020-07-22,0.107,0.108,0.105,0.108,9671211.444
52,2020-07-23,2020-07-23,0.108,0.109,0.107,0.107,12856739.177
53,2020-07-24,2020-07-24,0.107,0.107,0.104,0.105,9698567.54
54,2020-07-25,2020-07-25,0.105,0.125,0.105,0.123,32862510.068
55,2020-07-26,2020-07-26,0.124,0.133,0.121,0.128,35894084.473
56,2020-07-27,2020-07-27,0.128,0.129,0.111,0.118,39231815.545
57,2020-07-28,2020-07-28,0.118,0.129,0.115,0.127,22201738.691
58,2020-07-29,2020-07-29,0.127,0.128,0.118,0.119,20962655.955
59,2020-07-30,2020-07-30,0.119,0.121,0.117,0.119,11745215.78
60,2020-07-31,2020-07-31,0.119,0.12,0.116,0.119,13291443.839
61,2020-08-01,2020-08-01,0.119,0.126,0.119,0.123,19529208.052
62,2020-08-02,2020-08-02,0.123,0.126,0.111,0.114,25047561.668
63,2020-08-03,2020-08-03,0.114,0.121,0.113,0.12,11399008.254
64,2020-08-04,2020-08-04,0.12,0.126,0.119,0.121,14295873.923
65,2020-08-05,2020-08-05,0.122,0.123,0.119,0.12,8068817.85
66,2020-08-06,2020-08-06,0.12,0.123,0.118,0.122,10861724.524
67,2020-08-07,2020-08-07,0.122,0.124,0.115,0.118,19384690.575
68,2020-08-08,2020-08-08,0.118,0.125,0.117,0.125,9352250.329
69,2020-08-09,2020-08-09,0.125,0.129,0.121,0.123,14924258.14
70,2020-08-10,2020-08-10,0.123,0.124,0.121,0.122,11221093.357
71,2020-08-11,2020-08-11,0.123,0.123,0.113,0.117,16564707.575
72,2020-08-12,2020-08-12,0.117,0.117,0.106,0.116,18887606.847
73,2020-08-13,2020-08-13,0.116,0.12,0.112,0.118,27187141.547
74,2020-08-14,2020-08-14,0.118,0.12,0.117,0.117,9468450.024
75,2020-08-15,2020-08-15,0.117,0.12,0.116,0.117,10355859.562
76,2020-08-16,2020-08-16,0.117,0.118,0.114,0.117,9362531.814
77,2020-08-17,2020-08-17,0.117,0.123,0.117,0.119,18516516.725
78,2020-08-18,2020-08-18,0.118,0.121,0.112,0.115,11784514.93
79,2020-08-19,2020-08-19,0.115,0.116,0.107,0.109,18415178.114
80,2020-08-20,2020-08-20,0.11,0.114,0.107,0.113,9379942.459
81,2020-08-21,2020-08-21,0.113,0.113,0.104,0.105,17055075.25
82,2020-08-22,2020-08-22,0.105,0.107,0.101,0.106,10670213.337
83,2020-08-23,2020-08-23,0.106,0.107,0.102,0.103,5743258.457
84,2020-08-24,2020-08-24,0.103,0.108,0.102,0.105,6839412.546
85,2020-08-25,2020-08-25,0.105,0.105,0.089,0.095,32592597.132
86,2020-08-26,2020-08-26,0.095,0.102,0.093,0.097,22885747.902
87,2020-08-27,2020-08-27,0.097,0.098,0.087,0.091,23100871.966
88,2020-08-28,2020-08-28,0.091,0.094,0.09,0.092,10818661.724
89,2020-08-29,2020-08-29,0.092,0.1,0.091,0.098,8774372.777
90,2020-08-30,2020-08-30,0.098,0.1,0.096,0.098,8041449.749
91,2020-08-31,2020-08-31,0.099,0.107,0.095,0.102,19520502.971
92,2020-09-01,2020-09-01,0.103,0.107,0.1,0.104,10649230.826
93,2020-09-02,2020-09-02,0.105,0.106,0.094,0.097,17970252.295
94,2020-09-03,2020-09-03,0.097,0.099,0.079,0.081,20236162.83
95,2020-09-04,2020-09-04,0.08,0.088,0.078,0.086,23792882.928
96,2020-09-05,2020-09-05,0.086,0.088,0.072,0.076,14559391.01
97,2020-09-06,2020-09-06,0.076,0.081,0.072,0.078,14087100.722
98,2020-09-07,2020-09-07,0.079,0.08,0.073,0.079,14814750.439
99,2020-09-08,2020-09-08,0.079,0.082,0.075,0.078,13514771.011
100,2020-09-09,2020-09-09,0.077,0.081,0.076,0.079,6005282.556
101,2020-09-10,2020-09-10,0.079,0.084,0.079,0.082,12477375.557
102,2020-09-11,2020-09-11,0.082,0.083,0.079,0.082,6382102.051
103,2020-09-12,2020-09-12,0.082,0.083,0.08,0.083,4733790.371
104,2020-09-13,2020-09-13,0.083,0.084,0.078,0.08,6185057.745
105,2020-09-14,2020-09-14,0.08,0.083,0.079,0.082,5470008.269
106,2020-09-15,2020-09-15,0.082,0.082,0.079,0.079,2786835.572
107,2020-09-16,2020-09-16,0.079,0.079,0.076,0.077,4432907.397
108,2020-09-17,2020-09-17,0.078,0.08,0.077,0.08,5338316.347
109,2020-09-18,2020-09-18,0.08,0.08,0.076,0.077,3812520.759
110,2020-09-19,2020-09-19,0.077,0.079,0.077,0.077,2311554.44
111,2020-09-20,2020-09-20,0.077,0.078,0.074,0.075,4191992.746
112,2020-09-21,2020-09-21,0.076,0.076,0.066,0.068,10317319.104
113,2020-09-22,2020-09-22,0.068,0.071,0.067,0.07,5799381.869
114,2020-09-23,2020-09-23,0.07,0.071,0.065,0.066,7934779.466
115,2020-09-24,2020-09-24,0.066,0.072,0.065,0.071,5080390.389
116,2020-09-25,2020-09-25,0.071,0.085,0.071,0.083,19422839.849
117,2020-09-26,2020-09-26,0.083,0.086,0.079,0.082,4962403.63
118,2020-09-27,2020-09-27,0.082,0.088,0.081,0.087,6612287.777
119,2020-09-28,2020-09-28,0.087,0.092,0.086,0.086,9430018.547
