,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded
0,2020-06-01,2020-06-01,8518.72,9321.63,8476.75,9167.05,13691.374
1,2020-06-02,2020-06-02,9033.86,9191.68,8302.03,8522.39,28091.053
2,2020-06-03,2020-06-03,8521.42,8699.0,8355.0,8601.0,10414.123
3,2020-06-04,2020-06-04,8601.0,8833.0,8450.0,8645.12,11702.905
4,2020-06-05,2020-06-05,8647.95,8750.0,8491.46,8542.49,8600.634
5,2020-06-06,2020-06-06,8543.0,8698.57,8462.0,8578.67,4301.953
6,2020-06-07,2020-06-07,8567.5,8744.55,8334.4,8623.6,7855.409
7,2020-06-08,2020-06-08,8622.56,8739.0,8531.0,8658.13,7240.555
8,2020-06-09,2020-06-09,8658.8,8775.67,8465.0,8629.48,8490.516
9,2020-06-10,2020-06-10,8630.05,8800.0,8547.11,8705.0,9641.191
10,2020-06-11,2020-06-11,8705.8,8785.0,8010.01,8216.2,19960.48
11,2020-06-12,2020-06-12,8218.5,8523.8,8185.4,8413.5,9194.217
12,2020-06-13,2020-06-13,8423.08,8500.0,8310.0,8412.81,2849.974
13,2020-06-14,2020-06-14,8410.0,8480.56,8225.0,8296.99,3139.941
14,2020-06-15,2020-06-15,8293.8,8453.76,7917.8,8313.8,16629.631
15,2020-06-16,2020-06-16,8313.9,8550.0,8279.9,8465.5,7550.106
16,2020-06-17,2020-06-17,8455.8,8540.0,8188.8,8489.05,8427.803
17,2020-06-18,2020-06-18,8421.0,8494.12,8275.0,8370.91,5994.48
18,2020-06-19,2020-06-19,8378.1,8473.2,8239.61,8331.45,6500.867
19,2020-06-20,2020-06-20,8325.0,8434.29,8193.08,8369.18,3136.672
20,2020-06-21,2020-06-21,8372.89,8470.0,8298.0,8311.38,2408.334
21,2020-06-22,2020-06-22,8310.4,8682.18,8295.4,8589.26,8927.25
22,2020-06-23,2020-06-23,8586.3,8639.0,8430.49,8509.9,7255.032
23,2020-06-24,2020-06-24,8509.9,8592.81,8175.0,8270.3,12738.932
24,2020-06-25,2020-06-25,8265.9,8357.67,8010.0,8248.1,10474.898
25,2020-06-26,2020-06-26,8246.2,8341.81,8060.4,8179.38,8641.813
26,2020-06-27,2020-06-27,8166.5,8280.5,7920.0,8050.3,6798.397
27,2020-06-28,2020-06-28,8044.75,8245.13,7973.68,8123.9,4773.396
28,2020-06-29,2020-06-29,8134.74,8251.0,8003.57,8162.5,7577.281
29,2020-06-30,2020-06-30,8213.51,8229.83,8085.22,8145.97,5762.34
30,2020-07-01,2020-07-01,8138.42,8314.23,8100.0,8216.3,6104.428
31,2020-07-02,2020-07-02,8217.5,8280.54,7905.0,8107.77,9272.105
32,2020-07-03,2020-07-03,8107.94,8176.41,8053.1,8063.92,4968.143
33,2020-07-04,2020-07-04,8066.3,8215.11,8048.03,8124.0,3176.988
34,2020-07-05,2020-07-05,8115.06,8179.22,7933.36,8112.35,3324.878
35,2020-07-06,2020-07-06,8069.23,8301.0,8044.3,8259.5,7669.033
36,2020-07-07,2020-07-07,8242.91,8294.34,8178.0,8220.67,5157.26
37,2020-07-08,2020-07-08,8218.41,8415.0,8191.96,8339.8,8764.394
38,2020-07-09,2020-07-09,8339.8,8381.23,8119.07,8197.0,8819.291
39,2020-07-10,2020-07-10,8191.9,8287.32,8099.5,8232.6,7185.534
40,2020-07-11,2020-07-11,8231.3,8279.68,8134.5,8188.7,2275.506
41,2020-07-12,2020-07-12,8188.55,8306.85,8116.12,8239.99,2940.998
42,2020-07-13,2020-07-13,8240.0,8299.92,8114.1,8152.0,7158.381
43,2020-07-14,2020-07-14,8160.16,8199.74,8030.0,8123.48,7217.929
44,2020-07-15,2020-07-15,8122.1,8174.48,8037.12,8059.0,6813.715
