,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded
0,2020-06-01,2020-06-01,208.55,226.0,207.71,223.08,126363.809
1,2020-06-02,2020-06-02,221.57,226.99,201.83,212.86,232397.897
2,2020-06-03,2020-06-03,212.75,218.88,208.38,217.69,79549.929
3,2020-06-04,2020-06-04,217.75,221.0,211.16,214.68,102416.611
4,2020-06-05,2020-06-05,214.67,219.99,211.6,212.95,72313.559
5,2020-06-06,2020-06-06,212.97,218.31,209.63,214.44,44329.755
6,2020-06-07,2020-06-07,214.66,218.0,208.01,216.31,86864.315
7,2020-06-08,2020-06-08,216.39,220.45,213.41,217.79,52061.222
8,2020-06-09,2020-06-09,217.84,221.94,210.04,215.52,69671.905
9,2020-06-10,2020-06-10,215.53,220.97,212.43,218.15,82571.756
10,2020-06-11,2020-06-11,218.14,220.91,199.0,204.01,162280.798
11,2020-06-12,2020-06-12,204.11,213.82,202.3,211.09,70659.177
12,2020-06-13,2020-06-13,211.03,213.89,208.51,211.56,18734.479
13,2020-06-14,2020-06-14,211.5,214.13,204.15,205.9,33610.065
14,2020-06-15,2020-06-15,205.81,208.37,194.14,203.78,147346.564
15,2020-06-16,2020-06-16,203.78,210.95,202.0,209.06,54493.656
16,2020-06-17,2020-06-17,209.04,211.71,202.59,207.91,47673.834
17,2020-06-18,2020-06-18,207.9,210.52,203.15,206.38,37913.305
18,2020-06-19,2020-06-19,206.44,208.48,202.22,204.78,39039.001
19,2020-06-20,2020-06-20,204.77,207.61,202.0,204.55,27894.242
20,2020-06-21,2020-06-21,204.64,207.99,202.89,203.99,24784.012
21,2020-06-22,2020-06-22,203.99,219.06,203.33,215.64,94744.191
22,2020-06-23,2020-06-23,215.64,218.0,213.32,215.16,57654.114
23,2020-06-24,2020-06-24,215.07,220.84,205.1,208.7,114075.318
24,2020-06-25,2020-06-25,208.52,211.7,202.34,207.27,65117.937
25,2020-06-26,2020-06-26,207.27,208.96,203.06,204.71,52618.027
26,2020-06-27,2020-06-27,204.78,208.17,192.81,197.46,82597.997
27,2020-06-28,2020-06-28,197.4,204.54,194.66,200.6,67817.211
28,2020-06-29,2020-06-29,200.47,205.95,196.58,202.56,66161.947
29,2020-06-30,2020-06-30,202.37,205.35,198.62,200.97,47508.35
30,2020-07-01,2020-07-01,200.99,208.12,199.66,205.58,49973.28
31,2020-07-02,2020-07-02,205.69,207.67,198.71,202.08,70491.51
32,2020-07-03,2020-07-03,201.98,204.53,199.61,200.53,33659.255
33,2020-07-04,2020-07-04,200.19,206.03,199.89,203.67,28039.173
34,2020-07-05,2020-07-05,203.69,205.51,198.08,202.57,37842.251
35,2020-07-06,2020-07-06,202.58,214.76,201.67,213.72,87765.172
36,2020-07-07,2020-07-07,213.63,215.51,208.14,212.62,50500.408
37,2020-07-08,2020-07-08,212.58,221.19,211.28,218.2,104708.687
38,2020-07-09,2020-07-09,217.89,220.0,210.53,214.88,75858.265
39,2020-07-10,2020-07-10,214.72,215.67,209.41,213.7,47592.099
40,2020-07-11,2020-07-11,213.86,214.97,210.57,212.3,24067.297
41,2020-07-12,2020-07-12,212.2,217.0,209.0,214.86,47220.63
42,2020-07-13,2020-07-13,214.98,217.5,209.25,211.59,81539.367
43,2020-07-14,2020-07-14,211.4,213.57,209.02,210.82,52151.919
44,2020-07-15,2020-07-15,210.82,212.45,207.62,208.73,51577.543
45,2020-07-16,2020-07-16,209.01,210.84,202.0,205.12,82515.443
