,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded
0,2020-06-01,2020-06-01,3.71,4.03,3.71,3.909,229495.504
1,2020-06-02,2020-06-02,3.916,4.132,3.7,3.939,292369.992
2,2020-06-03,2020-06-03,3.941,4.035,3.858,3.997,86716.252
3,2020-06-04,2020-06-04,3.996,4.023,3.83,3.909,101327.542
4,2020-06-05,2020-06-05,3.905,3.949,3.842,3.88,55735.418
5,2020-06-06,2020-06-06,3.855,3.895,3.823,3.874,30003.237
6,2020-06-07,2020-06-07,3.855,3.904,3.748,3.847,84100.434
7,2020-06-08,2020-06-08,3.839,3.95,3.827,3.95,99529.904
8,2020-06-09,2020-06-09,3.952,3.972,3.85,3.923,78339.706
9,2020-06-10,2020-06-10,3.914,3.914,3.809,3.891,86904.654
10,2020-06-11,2020-06-11,3.891,3.911,3.45,3.52,212554.226
11,2020-06-12,2020-06-12,3.513,3.711,3.43,3.629,117010.681
12,2020-06-13,2020-06-13,3.632,3.647,3.575,3.637,17736.956
13,2020-06-14,2020-06-14,3.653,3.653,3.482,3.499,47737.402
14,2020-06-15,2020-06-15,3.499,3.53,3.24,3.46,292201.88
15,2020-06-16,2020-06-16,3.456,3.62,3.444,3.594,89943.638
16,2020-06-17,2020-06-17,3.585,3.73,3.521,3.71,102680.944
17,2020-06-18,2020-06-18,3.71,3.772,3.66,3.7,160370.51
18,2020-06-19,2020-06-19,3.7,3.714,3.624,3.653,53251.17
19,2020-06-20,2020-06-20,3.662,3.764,3.64,3.733,78005.77
20,2020-06-21,2020-06-21,3.743,3.752,3.7,3.739,29150.985
21,2020-06-22,2020-06-22,3.735,3.973,3.735,3.969,177096.492
22,2020-06-23,2020-06-23,3.976,4.38,3.947,4.253,346769.763
23,2020-06-24,2020-06-24,4.247,4.373,3.992,4.189,299387.074
24,2020-06-25,2020-06-25,4.191,4.31,4.012,4.291,234520.351
25,2020-06-26,2020-06-26,4.291,4.328,4.128,4.182,97887.365
26,2020-06-27,2020-06-27,4.176,4.176,3.87,3.947,191818.354
27,2020-06-28,2020-06-28,3.94,4.12,3.87,4.072,130104.725
28,2020-06-29,2020-06-29,4.076,4.156,3.93,4.091,94961.883
29,2020-06-30,2020-06-30,4.106,4.14,4.055,4.078,37958.391
30,2020-07-01,2020-07-01,4.062,4.21,4.034,4.173,82293.956
31,2020-07-02,2020-07-02,4.191,4.367,4.082,4.274,135809.614
32,2020-07-03,2020-07-03,4.28,4.365,4.201,4.229,95273.117
33,2020-07-04,2020-07-04,4.208,4.305,4.198,4.274,42441.103
34,2020-07-05,2020-07-05,4.289,4.289,4.12,4.221,45128.706
35,2020-07-06,2020-07-06,4.229,4.859,4.222,4.747,285226.206
36,2020-07-07,2020-07-07,4.735,5.23,4.722,5.074,453141.062
37,2020-07-08,2020-07-08,5.08,5.8,4.98,5.736,464085.795
38,2020-07-09,2020-07-09,5.738,5.744,5.067,5.395,347384.824
39,2020-07-10,2020-07-10,5.395,5.497,5.066,5.435,202688.954
40,2020-07-11,2020-07-11,5.435,5.54,5.3,5.43,78130.22
41,2020-07-12,2020-07-12,5.407,6.53,5.404,6.511,611310.813
42,2020-07-13,2020-07-13,6.495,7.5,6.03,6.357,932757.383
43,2020-07-14,2020-07-14,6.325,7.349,6.19,7.112,670893.451
44,2020-07-15,2020-07-15,7.122,7.822,6.87,7.581,991578.643
45,2020-07-16,2020-07-16,7.585,7.79,7.01,7.33,867547.22
46,2020-07-17,2020-07-17,7.343,7.55,7.206,7.244,324129.006
47,2020-07-18,2020-07-18,7.226,7.227,5.7,6.998,444706.554
48,2020-07-19,2020-07-19,6.989,7.189,6.825,7.075,127090.176
49,2020-07-20,2020-07-20,7.075,7.132,6.25,6.326,285308.961
50,2020-07-21,2020-07-21,6.326,6.735,6.025,6.359,346319.576
51,2020-07-22,2020-07-22,6.345,9.704,6.15,6.464,297851.46
52,2020-07-23,2020-07-23,6.457,7.0,6.43,6.814,495541.965
53,2020-07-24,2020-07-24,6.836,6.855,6.342,6.395,360535.909
54,2020-07-25,2020-07-25,6.388,6.711,6.369,6.587,320749.817
55,2020-07-26,2020-07-26,6.588,6.825,6.21,6.419,385303.53
56,2020-07-27,2020-07-27,6.429,6.444,5.53,5.998,855761.719
57,2020-07-28,2020-07-28,6.052,6.336,5.75,6.179,353482.877
58,2020-07-29,2020-07-29,6.187,6.392,5.939,6.05,327270.668
59,2020-07-30,2020-07-30,6.027,6.42,5.985,6.27,351126.063
60,2020-07-31,2020-07-31,6.274,6.647,6.256,6.627,429353.656
61,2020-08-01,2020-08-01,6.627,7.2,6.506,7.08,506463.536
62,2020-08-02,2020-08-02,7.083,7.57,5.882,7.035,919887.478
63,2020-08-03,2020-08-03,7.027,7.917,6.917,7.844,454346.378
64,2020-08-04,2020-08-04,7.866,8.486,7.744,8.378,958916.897
65,2020-08-05,2020-08-05,8.36,8.37,7.877,8.04,445128.605
66,2020-08-06,2020-08-06,8.028,8.684,7.973,8.6,342131.592
67,2020-08-07,2020-08-07,8.646,8.662,7.737,8.6,624691.738
68,2020-08-08,2020-08-08,8.613,11.85,8.455,10.79,1346665.552
69,2020-08-09,2020-08-09,10.782,12.322,10.1,11.734,1386778.394
70,2020-08-10,2020-08-10,11.772,11.949,10.65,11.476,960867.104
71,2020-08-11,2020-08-11,11.48,11.53,10.3,11.089,859855.757
72,2020-08-12,2020-08-12,11.066,14.37,10.77,13.992,1764876.058
73,2020-08-13,2020-08-13,14.006,15.543,13.5,14.577,2079957.717
74,2020-08-14,2020-08-14,14.552,14.9,13.843,14.37,616836.262
75,2020-08-15,2020-08-15,14.349,16.755,14.004,16.199,1061694.999
